"","Centrality","wgii"
"1","Tumour centre",0.240598336
"2","Tumour centre",0.252582193
"3","Tumour margin",0.274997864
"4","Tumour margin",0.246268056
"5","Tumour margin",0.238280085
"6","Tumour margin",0.249629091
"7","Tumour centre",0.238295777
"8","Tumour margin",0.246791599
"9","Tumour margin",0.238875082
"10","Tumour margin",0.242648592
"11","Tumour margin",0.081853435
"12","Tumour margin",0.081853435
"13","Tumour margin",0.08241213
"14","Tumour margin",0.081853435
"15","Tumour margin",0.081853435
"16","Tumour margin",0.081853435
"17","Tumour margin",0.081853435
"18","Tumour margin",0.081847974
"19","Tumour centre",0.138034178
"20","Tumour margin",0.158335301
"21","Tumour margin",0.128600105
"22","Tumour centre",0.606766435
"23","Tumour centre",0.600034841
"24","Tumour centre",0.576038326
"25","Tumour centre",0.622035678
"34","Tumour margin",0.149691488
"35","Tumour margin",0.056343844
"36","Tumour margin",0.054110908
"37","Tumour margin",0.052980925
"38","Tumour margin",0.150017437
"39","Tumour margin",0.148133196
"40","Tumour margin",0.148685862
"41","Tumour centre",0.046122816
"42","Tumour margin",0.046822262
"43","Tumour centre",0.046825834
"44","Tumour centre",0.046738199
"45","Tumour centre",0.054262204
"46","Tumour margin",0.093562922
"47","Tumour margin",0.093562922
"48","Tumour margin",0.094994691
"49","Tumour margin",0.093562922
"50","Tumour centre",0.093562922
"51","Tumour centre",0.094994691
"52","Tumour margin",0.094994691
"53","Tumour margin",0.102790662
"54","Tumour margin",0.101029424
"55","Tumour margin",0.094994691
"56","Tumour margin",0.094994691
"57","Tumour margin",0.093562922
"58","Tumour margin",0.10334535
"59","Tumour margin",0.050038088
"60","Tumour margin",0.047215721
"61","Tumour margin",0.038384505
"62","Tumour margin",0.041682714
"63","Tumour margin",0.215873848
"64","Tumour margin",0.058948225
"65","Tumour margin",0.03676548
"66","Tumour margin",0.036905552
"67","Tumour margin",0.041027816
"68","Tumour margin",0.038948783
"69","Tumour margin",0.038948783
"70","Tumour margin",0.041027816
"71","Tumour centre",0.040942434
"72","Tumour centre",0.03848502
"73","Tumour margin",0.037065556
"74","Tumour margin",0.036166258
"75","Tumour margin",0.338556465
"76","Tumour margin",0.037067859
"77","Tumour centre",0.419127941
"78","Tumour margin",0.136994373
"79","Tumour centre",0.091912098
"80","Tumour margin",0.047876778
"81","Tumour margin",0.125917373
"82","Tumour centre",0.099832371
"83","Tumour centre",0.366058596
"84","Tumour centre",0.184240414
"85","Tumour centre",0.093331323
"86","Tumour margin",0.767915181
"87","Tumour centre",0.080462827
"88","Tumour centre",0.079102582
"89","Tumour centre",0.374290851
"90","Tumour centre",0.103476365
"91","Tumour margin",0.093331323
"92","Tumour margin",0.079908875
"93","Tumour centre",0.138785869
"94","Tumour centre",0.093331323
"95","Tumour margin",0.139339821
"96","Tumour margin",0.126849331
"97","Tumour margin",0.184240414
"98","Tumour margin",0.091105805
"99","Tumour margin",0.061742997
"100","Tumour margin",0.109185756
"101","Tumour centre",0.091912098
"102","Tumour margin",0.507373898
"103","Tumour margin",0.66810154
"104","Tumour margin",0.567619127
"105","Tumour centre",0.640669983
"106","Tumour centre",0.697275639
"107","Tumour centre",0.605418287
"108","Tumour centre",0.623990256
"109","Tumour centre",0.70900838
"110","Tumour margin",0.620892495
"111","Tumour margin",0.530059298
"112","Tumour centre",0.595632858
"113","Tumour centre",0.611042721
"114","Tumour margin",0.546816285
"115","Tumour centre",0.588894998
"116","Tumour centre",0.601579572
"117","Tumour centre",0.594048452
"118","Tumour margin",0.578983871
"119","Tumour margin",0.558368413
"120","Tumour centre",0.620605433
"121","Tumour centre",0.582254947
"122","Tumour centre",0.557853299
"123","Tumour margin",0.610362319
"124","Tumour centre",0.337122293
"125","Tumour margin",0.438895944
"126","Tumour margin",0.458166368
"127","Tumour centre",0.440068943
"128","Tumour centre",0.450097879
"129","Tumour centre",0.36003291
"130","Tumour centre",0.356571682
"131","Tumour margin",0.039562694
"132","Tumour centre",0.089175035
"133","Tumour centre",0.041877337
"134","Tumour margin",0.04549666
"135","Tumour centre",0.065414963
"136","Tumour margin",0.045307666
"137","Tumour margin",0.056618207
"138","Tumour margin",0.043075531
"139","Tumour margin",0.039567
"140","Tumour centre",0.039562694
"141","Tumour margin",0.191038457
"142","Tumour margin",0.194945279
"143","Tumour margin",0.191109722
"144","Tumour centre",0.187989202
"145","Tumour margin",0.28946941
"146","Tumour margin",0.609836367
"147","Tumour margin",0.545238607
"148","Tumour margin",0.800665326
"149","Tumour margin",0.163131586
"150","Tumour margin",0.135295118
"151","Tumour margin",0.159336593
"152","Tumour centre",0.08879917
"153","Tumour centre",0.118961461
"154","Tumour margin",0.148939372
"155","Tumour centre",0.213161997
"156","Tumour margin",0.205275984
"157","Tumour margin",0.207563467
"158","Tumour margin",0.176623458
"159","Tumour centre",0.325949635
"160","Tumour margin",0.935456846
"161","Tumour margin",0.049971156
"162","Tumour margin",0.100304805
"163","Tumour centre",0.088903026
"164","Tumour margin",0.046525888
"165","Tumour centre",0.855384365
"166","Tumour margin",0.877407255
"167","Tumour centre",0.635963588
"168","Tumour centre",0.830235118
"169","Tumour margin",0.284516283
"170","Tumour centre",0.285111907
"171","Tumour centre",0.28646708
"172","Tumour centre",0.350030088
"173","Tumour margin",0.696424715
"174","Tumour centre",0.450563422
"175","Tumour margin",0.373043349
"176","Tumour centre",0.381672419
"177","Tumour centre",0.37278525
"178","Tumour centre",0.375011559
"179","Tumour margin",0.145198251
"180","Tumour centre",0.139414975
"181","Tumour margin",0.2168369
"182","Tumour centre",0.145876665
"183","Tumour margin",0.150361431
"184","Tumour margin",0.093547433
"185","Tumour centre",0.146336659
"186","Tumour centre",0.163023427
"187","Tumour centre",0.14874302
"188","Tumour margin",0.148690939
"189","Tumour centre",0.143597067
"190","Tumour margin",0.304824205
"191","Tumour margin",0.386687335
"192","Tumour margin",0.516878692
"193","Tumour margin",0.249025138
"194","Tumour centre",0.136441174
"195","Tumour margin",0.486211236
"196","Tumour margin",0.145437509
"197","Tumour margin",0.098501288
"198","Tumour margin",0.118206263
"199","Tumour margin",0.170633031
"200","Tumour centre",0.121106445
"201","Tumour margin",0.121106445
"202","Tumour margin",0.121199559
"203","Tumour margin",0.124393381
"204","Tumour margin",0.121199559
"205","Tumour margin",0.109071046
"206","Tumour margin",0.106832556
"207","Tumour margin",0.256624416
"208","Tumour margin",0.131467421
"209","Tumour margin",0.11678133
"210","Tumour margin",0.116924376
"211","Tumour margin",0.108539555
"212","Tumour margin",0.10834349
"213","Tumour margin",0.352140207
"214","Tumour margin",0.189813019
"215","Tumour margin",0.439323743
"216","Tumour centre",0.120240728
"217","Tumour centre",0.09310782
"218","Tumour centre",0.09310782
"219","Tumour margin",0.103360886
"220","Tumour margin",0.13440621
"221","Tumour centre",0.047653275
"222","Tumour centre",0.109297645
"223","Tumour margin",0.447793296
"224","Tumour margin",0.316500753
"225","Tumour centre",0.057812829
"226","Tumour centre",0.18148036
"227","Tumour centre",0.394282251
"228","Tumour margin",0.491860167
"229","Tumour margin",0.228311751
"230","Tumour margin",0.159406006
"231","Tumour margin",0.161398247
"232","Tumour margin",0.151147643
"233","Tumour centre",0.112736258
"234","Tumour centre",0.148164799
"235","Tumour margin",0.195943902
"236","Tumour centre",0.197153895
"237","Tumour margin",0.77344947
"238","Tumour margin",0.605884465
"239","Tumour margin",0.327353357
"240","Tumour margin",0.194969758
"241","Tumour margin",0.631472316
"242","Tumour centre",0.18826884
"243","Tumour margin",0.142463035
"244","Tumour margin",0.289270989
"245","Tumour margin",0.288900923
"246","Tumour centre",0.29063783
"247","Tumour margin",0.291183544
"248","Tumour margin",0.152018797
"249","Tumour margin",0.152035219
"250","Tumour margin",0.149511917
"251","Tumour margin",0.170496231
"252","Tumour margin",0.160725244
"253","Tumour margin",0.190211942
"254","Tumour margin",0.275104719
"255","Tumour margin",0.115929686
"256","Tumour margin",0.475251136
"257","Tumour centre",0.115318411
"258","Tumour centre",0.509897386
"259","Tumour centre",0.203402174
"260","Tumour margin",0.288342072
"261","Tumour margin",0.537220054
"262","Tumour centre",0.448127365
"263","Tumour centre",0.080899909
"264","Tumour centre",0.077021374
"265","Tumour centre",0.348530235
"266","Tumour margin",0.433284825
"267","Tumour margin",0.04530897
"268","Tumour centre",0.043320196
"269","Tumour centre",0.491249653
"270","Tumour centre",0.58876916
"271","Tumour margin",0.400446307
"272","Tumour margin",0.226194895
"273","Tumour margin",0.186923158
"274","Tumour margin",0.204131169
"275","Tumour centre",0.211332774
"276","Tumour centre",0.215900291
"277","Tumour centre",0.209304566
"278","Tumour margin",0.542302037
"279","Tumour centre",0.555511746
"280","Tumour margin",0.567118008
"281","Tumour centre",0.489576051
"282","Tumour margin",0.567619537
"283","Tumour margin",0.596255189
"284","Tumour centre",0.599775304
"285","Tumour margin",0.104581542
"286","Tumour margin",0.104581542
"287","Tumour margin",0.104552455
"288","Tumour margin",0.104526368
"289","Tumour centre",0.104581542
"290","Tumour margin",0.104552455
"291","Tumour margin",0.568385547
"292","Tumour centre",0.60058107
"293","Tumour margin",0.586386663
"294","Tumour margin",0.590856226
"295","Tumour margin",0.486274816
"296","Tumour margin",0.633797765
"297","Tumour margin",0.540044091
"298","Tumour centre",0.702712175
"299","Tumour margin",0.403423249
"300","Tumour margin",0.740618919
"301","Tumour centre",0.532950023
"302","Tumour centre",0.676818286
"303","Tumour margin",0.65058864
"304","Tumour margin",0.534491013
"305","Tumour centre",0.446719999
"306","Tumour centre",0.442041388
"307","Tumour centre",0.443798406
"308","Tumour centre",0.45037458
"309","Tumour centre",0.445989946
"310","Tumour centre",0.443738437
"311","Tumour centre",0.623963354
"312","Tumour margin",0.640838186
"313","Tumour centre",0.593245857
"314","Tumour centre",0.596554521
"315","Tumour margin",0.5964612
"316","Tumour margin",0.968187066
"317","Tumour centre",0.833323233
"318","Tumour centre",0.917034963
"319","Tumour centre",0.910284396
"320","Tumour margin",0.793191015
"321","Tumour centre",0.858521934
"322","Tumour centre",0.946423881
"323","Tumour centre",0.92419803
"324","Tumour margin",0.810043771
"325","Tumour margin",0.880204757
"326","Tumour centre",0.890315553
"327","Tumour centre",0.936376929
"328","Tumour margin",0.759439059
"329","Tumour margin",0.783498925
"330","Tumour margin",0.779207436
"331","Tumour margin",0.858050382
"332","Tumour margin",0.72810906
"333","Tumour centre",0.910411134
"334","Tumour centre",0.895859205
"335","Tumour margin",0.914006286
"336","Tumour margin",0.96552799
"337","Tumour centre",0.9741688
"338","Tumour centre",0.902238795
"339","Tumour centre",0.955681575
"340","Tumour margin",0.900338704
"341","Tumour centre",0.624454893
"342","Tumour centre",0.183368331
"343","Tumour centre",0.176065339
"344","Tumour margin",0.197242735
"345","Tumour centre",0.098727763
"346","Tumour margin",0.098648867
"347","Tumour centre",0.190381496
"348","Tumour centre",0.600478037
"349","Tumour margin",0.183174296
"350","Tumour centre",0.115494688
"351","Tumour margin",0.113987728
"352","Tumour centre",0.62258865
"353","Tumour centre",0.509060516
"354","Tumour centre",0.477464721
"355","Tumour margin",0.140888756
"356","Tumour margin",0.101961252
"357","Tumour margin",0.098828368
"358","Tumour margin",0.098769519
"359","Tumour centre",0.102137813
"360","Tumour centre",0.664329113
"361","Tumour centre",0.601508402
"362","Tumour margin",0.09886667
"363","Tumour centre",0.521373347
"364","Tumour centre",0.607089652
"365","Tumour margin",0.6216994
"366","Tumour centre",0.143949482
"367","Tumour centre",0.102135591
"368","Tumour margin",0.234563876
"369","Tumour centre",0.210427655
"370","Tumour margin",0.333596377
"371","Tumour margin",0.101880268
"372","Tumour margin",0.098616846
"373","Tumour centre",0.109161949
"374","Tumour centre",0.09832974
"375","Tumour margin",0.098919453
"376","Tumour margin",0.610687514
"377","Tumour centre",0.159063563
"378","Tumour margin",0.190293437
"379","Tumour centre",0.098382162
"380","Tumour centre",0.105517015
"381","Tumour margin",0.098381043
"382","Tumour centre",0.102300687
"383","Tumour margin",0.053392835
"384","Tumour centre",0.143900676
"385","Tumour centre",0.684885344
"386","Tumour margin",0.118655115
"387","Tumour margin",0.328103051
"388","Tumour margin",0.122372396
"389","Tumour margin",0.117625254
"390","Tumour margin",0.120243859
"391","Tumour margin",0.117479629
"392","Tumour margin",0.131084433
"393","Tumour margin",0.118043267
"394","Tumour margin",0.118471541
"395","Tumour margin",0.1158188
"396","Tumour margin",0.179224397
"397","Tumour margin",0.044163956
"398","Tumour margin",0.044163956
"399","Tumour centre",0.044163956
"400","Tumour centre",0.0441537
"401","Tumour margin",0.06395776
"402","Tumour margin",0.044163956
"403","Tumour centre",0.058863217
"404","Tumour margin",0.059317607
"405","Tumour margin",0.044099791
"406","Tumour centre",0.393185883
"407","Tumour margin",0.262621761
"408","Tumour margin",0.090081039
"409","Tumour centre",0.310550852
"410","Tumour centre",0.06172561
"411","Tumour margin",0.042269972
"412","Tumour centre",0.044163956
"413","Tumour margin",0.19647613
"414","Tumour centre",0.173477642
"415","Tumour margin",0.380218598
"416","Tumour margin",0.181605792
"417","Tumour margin",0.163622439
"418","Tumour margin",0.339316677
"419","Tumour margin",0.572789143
"420","Tumour centre",0.203619879
"421","Tumour centre",0.31375426
"422","Tumour margin",0.187216654
"423","Tumour margin",0.753978594
"424","Tumour centre",0.173697423
"425","Tumour margin",0.37572674
"426","Tumour margin",0.209304142
"427","Tumour margin",0.297572477
"428","Tumour margin",0.315341162
"429","Tumour margin",0.135675433
"430","Tumour margin",0.128005298
"431","Tumour centre",0.128005298
"432","Tumour margin",0.291840994
"433","Tumour centre",0.125385859
"434","Tumour centre",0.1272166
"435","Tumour margin",0.119568631
"436","Tumour centre",0.106065072
"437","Tumour centre",0.460899131
"438","Tumour centre",0.798585976
"439","Tumour centre",0.070625072
"440","Tumour centre",0.102938473
"441","Tumour centre",0.114462913
"442","Tumour margin",0.077163928
"443","Tumour margin",0.074860252
"444","Tumour margin",0.081070419
"445","Tumour margin",0.090017502
"446","Tumour margin",0.085144412
"447","Tumour centre",0.074193852
"448","Tumour centre",0.14953549
"449","Tumour margin",0.50318649
"450","Tumour margin",0.518286531
"451","Tumour margin",0.468563771
"452","Tumour centre",0.630642163
"453","Tumour centre",0.52263121
"454","Tumour margin",0.439799092
"455","Tumour margin",0.507597402
"456","Tumour centre",0.562720033
"457","Tumour margin",0.537118334
"458","Tumour margin",0.561030597
"459","Tumour margin",0.637246818
"460","Tumour centre",0.611119446
"461","Tumour margin",0.05383423
"462","Tumour margin",0.055913566
"463","Tumour margin",0.17341401
"464","Tumour centre",0.038052538
"465","Tumour margin",0.055206849
"466","Tumour margin",0.058558902
"467","Tumour margin",0.112753694
"468","Tumour margin",0.112751282
"469","Tumour margin",0.117072401
"470","Tumour centre",0.112695389
"471","Tumour centre",0.112672774
"472","Tumour centre",0.112685752
"473","Tumour margin",0.120625781
"474","Tumour margin",0.11428474
"475","Tumour margin",0.12373879
"476","Tumour margin",0.112731516
"477","Tumour margin",0.112692977
"478","Tumour margin",0.112686424
"479","Tumour margin",0.113621208
"480","Tumour margin",0.111603157
"481","Tumour margin",0.113653419
"482","Tumour centre",0.113108346
"483","Tumour centre",0.111586453
"484","Tumour centre",0.112682662
"485","Tumour margin",0.111664311
"486","Tumour margin",0.202786656
"487","Tumour centre",0.289701136
"488","Tumour margin",0.175861102
"489","Tumour margin",0.192944128
"490","Tumour margin",0.615446466
"491","Tumour centre",0.062589508
"492","Tumour centre",0.042374072
"493","Tumour margin",0.04907587
"494","Tumour margin",0.048083652
"495","Tumour margin",0.624652285
"496","Tumour centre",0.094122909
"497","Tumour centre",0.048219334
"498","Tumour margin",0.63076193
"499","Tumour margin",0.128935354
"500","Tumour margin",0.065971485
"501","Tumour margin",0.072715552
"502","Tumour centre",0.04234705
"503","Tumour centre",0.066561051
"504","Tumour centre",0.040067035
"505","Tumour centre",0.051147339
"506","Tumour centre",0.055335864
"507","Tumour centre",0.049656783
"508","Tumour margin",0.048219334
"509","Tumour margin",0.476426284
"510","Tumour centre",0.042495101
"511","Tumour margin",0.04907587
"512","Tumour centre",0.048238724
"513","Tumour centre",0.0507961
"514","Tumour margin",0.042520555
"515","Tumour centre",0.048210801
"516","Tumour margin",0.048219334
"517","Tumour centre",0.042520555
"518","Tumour centre",0.36398586
"519","Tumour margin",0.10715794
"520","Tumour margin",0.042376533
"521","Tumour margin",0.042373759
"522","Tumour margin",0.060863594
"523","Tumour margin",0.585403221
"524","Tumour centre",0.039537853
"525","Tumour margin",0.038268985
"526","Tumour centre",0.038117449
"527","Tumour centre",0.500394318
"528","Tumour margin",0.048238724
"529","Tumour centre",0.047763988
"530","Tumour centre",0.088418853
"531","Tumour margin",0.481556356
"532","Tumour margin",0.47423292
"533","Tumour centre",0.039950533
"534","Tumour centre",0.040153965
"535","Tumour centre",0.150114448
"536","Tumour margin",0.486824453
"537","Tumour margin",0.618491168
"538","Tumour centre",0.472185083
"539","Tumour centre",0.464794871
"540","Tumour margin",0.473784014
"541","Tumour margin",0.517322913
"542","Tumour margin",0.665746588
"543","Tumour centre",0.049679736
"544","Tumour margin",0.497823077
"545","Tumour margin",0.49863237
"546","Tumour margin",0.09855221
"547","Tumour margin",0.070876282
"548","Tumour margin",0.077096054
"549","Tumour margin",0.074799775
"550","Tumour centre",0.454844226
"551","Tumour margin",0.084241605
"552","Tumour margin",0.084241605
"553","Tumour margin",0.094231945
"554","Tumour centre",0.084241605
"555","Tumour margin",0.084241605
"556","Tumour margin",0.084241605
"557","Tumour margin",0.54341544
"558","Tumour margin",0.562902332
"559","Tumour margin",0.542742659
"560","Tumour margin",0.081316902
"561","Tumour margin",0.026735072
"562","Tumour margin",0.048368543
"563","Tumour margin",0.023127427
"564","Tumour margin",0.052963495
"565","Tumour margin",0.055130416
"566","Tumour margin",0.055123601
"567","Tumour margin",0.056642908
"568","Tumour margin",0.052743189
"569","Tumour margin",0.055107058
"570","Tumour margin",0.055151225
"571","Tumour margin",0.052963495
"572","Tumour margin",0.052964539
"573","Tumour margin",0.052715565
"574","Tumour centre",0.04952145
"575","Tumour centre",0.052963495
"576","Tumour margin",0.0542316
"577","Tumour margin",0.052964539
"578","Tumour margin",0.052715565
"579","Tumour margin",0.248256777
"580","Tumour margin",0.494884197
"581","Tumour margin",0.445487111
"582","Tumour margin",0.638750934
"583","Tumour centre",0.254921774
"584","Tumour margin",0.098121128
"585","Tumour margin",0.098254304
"586","Tumour margin",0.087047622
"587","Tumour margin",0.090872634
"588","Tumour margin",0.098934804
"589","Tumour margin",0.108465545
"590","Tumour margin",0.32371861
"591","Tumour margin",0.322085053
"592","Tumour margin",0.155369993
"593","Tumour margin",0.338630174
"594","Tumour margin",0.322085053
"595","Tumour margin",0.355603496
"596","Tumour margin",0.32305635
"597","Tumour centre",0.336937144
"598","Tumour centre",0.306016791
"599","Tumour margin",0.335703128
"600","Tumour centre",0.30826057
"601","Tumour margin",0.328607574
"602","Tumour margin",0.310271359
"603","Tumour margin",0.320775032
"604","Tumour margin",0.336090725
"605","Tumour centre",0.335703128
"606","Tumour centre",0.336275071
"607","Tumour margin",0.320392023
"608","Tumour margin",0.319998181
"609","Tumour margin",0.319998181
"610","Tumour margin",0.16147117
"611","Tumour margin",0.707717639
"612","Tumour centre",0.653567537
"613","Tumour centre",0.297861063
"614","Tumour margin",0.29140453
"615","Tumour centre",0.377201079
"616","Tumour centre",0.421320648
"617","Tumour centre",0.371409385
"618","Tumour centre",0.298339046
"619","Tumour centre",0.335892458
"620","Tumour centre",0.647943713
"621","Tumour centre",0.670823459
"622","Tumour margin",0.5250343
"623","Tumour centre",0.566493104
"624","Tumour margin",0.266996824
"625","Tumour margin",0.270191225
"626","Tumour centre",0.267453298
"627","Tumour centre",0.223984425
"628","Tumour centre",0.214708957
"629","Tumour centre",0.238374553
"630","Tumour centre",0.210814003
"631","Tumour centre",0.257601864
"632","Tumour centre",0.213658844
"633","Tumour centre",0.230224804
"634","Tumour centre",0.18846133
"635","Tumour margin",0.196760892
"636","Tumour centre",0.197397397
"637","Tumour centre",0.194263571
"638","Tumour centre",0.165308676
"639","Tumour centre",0.190178251
"640","Tumour centre",0.222174549
"641","Tumour margin",0.270612378
"642","Tumour margin",0.177375763
"643","Tumour centre",0.178098317
"644","Tumour margin",0.219042365
"645","Tumour centre",0.222169615
"646","Tumour margin",0.219604622
"647","Tumour centre",0.281990413
"648","Tumour centre",0.209571435
"649","Tumour centre",0.229982291
"650","Tumour centre",0.322757794
"651","Tumour centre",0.198007785
"652","Tumour margin",0.216165888
"653","Tumour margin",0.229539215
"654","Tumour centre",0.165902811
"655","Tumour centre",0.192674701
"656","Tumour centre",0.271996337
"657","Tumour centre",0.187695816
"658","Tumour centre",0.172359673
"659","Tumour centre",0.175440853
"660","Tumour margin",0.16411689
"661","Tumour centre",0.168427499
"662","Tumour centre",0.164106819
"663","Tumour margin",0.166169115
"664","Tumour margin",0.175468176
"665","Tumour margin",0.166196857
"666","Tumour centre",0.269656103
"667","Tumour centre",0.170351542
"668","Tumour centre",0.17077788
"669","Tumour centre",0.176645275
"670","Tumour centre",0.189829448
"671","Tumour margin",0.175471006
"672","Tumour centre",0.172318945
"673","Tumour centre",0.219933021
"674","Tumour centre",0.315648042
"675","Tumour centre",0.316414313
"676","Tumour centre",0.2816484
"677","Tumour margin",0.232196355
"678","Tumour margin",0.58064311
"679","Tumour centre",0.458879015
"680","Tumour centre",0.638216179
"681","Tumour centre",0.175239017
"682","Tumour centre",0.715982003
"683","Tumour margin",0.66833956
"684","Tumour centre",0.736028055
"685","Tumour margin",0.243750058
"686","Tumour centre",0.690942939
"687","Tumour centre",0.712117788
"688","Tumour centre",0.730495043
"689","Tumour centre",0.739003328
"690","Tumour margin",0.623337766
"691","Tumour centre",0.794661128
"692","Tumour centre",0.686264577
"693","Tumour centre",0.721259528
"694","Tumour centre",0.232992686
"695","Tumour margin",0.701143723
"696","Tumour centre",0.749467875
"697","Tumour margin",0.685666193
"698","Tumour centre",0.652126259
"699","Tumour centre",0.661558528
"700","Tumour centre",0.762272144
"701","Tumour centre",0.235728937
"702","Tumour centre",0.227182696
"703","Tumour margin",0.227406724
"704","Tumour margin",0.75912801
"705","Tumour margin",0.225339538
"706","Tumour margin",0.088552849
"707","Tumour margin",0.160414821
"708","Tumour margin",0.121166462
"709","Tumour centre",0.116437693
"710","Tumour centre",0.08256084
"711","Tumour margin",0.08920773
"712","Tumour margin",0.100240944
"713","Tumour centre",0.277504134
"714","Tumour margin",0.285020163
"715","Tumour margin",0.300099317
"716","Tumour centre",0.084494257
"717","Tumour centre",0.087170718
"718","Tumour centre",0.298336928
"719","Tumour centre",0.30095746
"720","Tumour margin",0.133667243
"721","Tumour centre",0.115586996
"722","Tumour centre",0.116041702
"723","Tumour centre",0.11604596
"724","Tumour centre",0.116041573
"725","Tumour centre",0.11604596
"726","Tumour centre",0.116046089
"727","Tumour margin",0.11604596
"728","Tumour margin",0.11604596
"729","Tumour margin",0.11604596
"730","Tumour centre",0.115586867
"731","Tumour margin",0.142445893
"732","Tumour centre",0.160582449
"733","Tumour centre",0.11604596
"734","Tumour centre",0.115586996
"735","Tumour centre",0.115586996
"736","Tumour centre",0.16058232
"737","Tumour centre",0.115586867
"738","Tumour centre",0.16058232
"739","Tumour centre",0.115586867
"740","Tumour margin",0.116046089
"741","Tumour margin",0.127378672
"742","Tumour margin",0.116046089
"743","Tumour centre",0.127837636
"744","Tumour centre",0.110992803
"745","Tumour centre",0.115586867
"746","Tumour margin",0.500932007
"747","Tumour margin",0.127842152
"748","Tumour margin",0.128608605
"749","Tumour centre",0.088357808
"750","Tumour margin",0.124461145
"751","Tumour margin",0.116046089
"752","Tumour margin",0.116046089
"753","Tumour margin",0.116046089
"754","Tumour margin",0.116046089
"755","Tumour margin",0.115586996
"756","Tumour centre",0.124920109
